generated_at,reference_rows,current_rows,dataset_drift,share_of_drifted_columns,elo_diff_drift_score,elo_diff_drift_detected,form_goals_against_diff_drift_score,form_goals_against_diff_drift_detected,form_goals_for_diff_drift_score,form_goals_for_diff_drift_detected,form_win_rate_diff_drift_score,form_win_rate_diff_drift_detected,rank_points_diff_drift_score,rank_points_diff_drift_detected
2026-07-05,19282,810,False,0.2,0.10080505509235055,True,0.08811733694976887,False,0.06888865805136554,False,0.027949636687407325,False,0.09174173436944262,False
2026-07-05,19282,810,False,0.2,0.10080505509235055,True,0.08811733694976887,False,0.06888865805136554,False,0.027949636687407325,False,0.09174173436944262,False
2026-07-05,19282,810,False,0.2,0.10080505509235055,True,0.08811733694976887,False,0.06888865805136554,False,0.027949636687407325,False,0.09174173436944262,False
2026-07-06,19282,812,False,0.2,0.10110084037318336,True,0.08834700744938404,False,0.06728140128615792,False,0.02898541233705775,False,0.09090969886429025,False
2026-07-07,19282,816,False,0.2,0.10300282685613353,True,0.08984297755758444,False,0.06551081648625275,False,0.030402477707660955,False,0.09217797974283808,False
2026-07-08,19282,822,False,0.2,0.1021560761069513,True,0.0899948033409884,False,0.06665413080155227,False,0.02806010197924747,False,0.09240943299086908,False
2026-07-09,19282,822,False,0.2,0.1021560761069513,True,0.0899948033409884,False,0.06665413080155227,False,0.02806010197924747,False,0.09240943299086908,False
2026-07-10,19282,824,False,0.2,0.10255690829748355,True,0.09124648163203218,False,0.06559957870626662,False,0.028447477812877275,False,0.0928444046692284,False
2026-07-11,19282,826,False,0.2,0.10257712266640279,True,0.09172153672410453,False,0.06793035569132194,False,0.02978772427207125,False,0.09354419580703893,False
2026-07-12,19282,828,False,0.2,0.10337432842954408,True,0.09142559632154572,False,0.0668905721221102,False,0.030809588183352724,False,0.09238957350849508,False
2026-07-13,19282,830,False,0.2,0.10306035576971295,True,0.09189793038982608,False,0.06753140258876986,False,0.02931686996569484,False,0.09219259396476576,False
2026-07-14,19282,830,False,0.2,0.10306035576971295,True,0.09189793038982608,False,0.06753140258876986,False,0.02931686996569484,False,0.09219259396476576,False
2026-07-14,19282,830,False,0.2,0.10306035576971295,True,0.09189793038982608,False,0.06753140258876986,False,0.02931686996569484,False,0.09219259396476576,False
2026-07-14,19282,830,False,0.2,0.10306035576971295,True,0.09189793038982608,False,0.06753140258876986,False,0.02931686996569484,False,0.09219259396476576,False
2026-07-15,19282,832,False,0.2,0.10433855370845714,True,0.09236799362123967,False,0.06761196042678522,False,0.03034377542383977,False,0.09235362080803512,False
2026-07-16,19282,834,False,0.2,0.10471541509872631,True,0.09359897267550786,False,0.06880609149966814,False,0.03012985999877593,False,0.09311510464553446,False
2026-07-17,19282,834,False,0.2,0.10471541509872631,True,0.09359897267550786,False,0.06880609149966814,False,0.03012985999877593,False,0.09311510464553446,False
2026-07-18,19282,834,False,0.2,0.10471541509872631,True,0.09359897267550786,False,0.06880609149966814,False,0.03012985999877593,False,0.09311510464553446,False
2026-07-19,19282,836,False,0.2,0.1057384982942688,True,0.09482406187784165,False,0.06833135364972584,False,0.03147728609031715,False,0.09360352966341655,False
2026-07-20,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-07-21,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-07-22,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
2026-07-23,19282,838,False,0.2,0.10721814022785307,True,0.09528377589402313,False,0.06979786864864351,False,0.031573337331728055,False,0.09431519184878451,False
